nombre,direccion,estado
"Sonrisas Brillantes Dental","Av. de la Castellana 150, Madrid","ACTIVO"
"Dental Care Premium","Paseo de Gracia 88, Barcelona","ACTIVO"
"Centro Dental Integral","Calle Alcalá 250, Madrid","ACTIVO"
"OdontoClinic Valencia","Av. Blasco Ibáñez 45, Valencia","ACTIVO"
"Clínica Dental Sevilla","Calle Resolana 12, Sevilla","ACTIVO"
"Dental Health Plus","Gran Vía 32, Madrid","ACTIVO"
"Sonrisas Perfectas","Plaza Catalunya 20, Barcelona","INACTIVO"
"Centro de Odontología Moderna","Calle Serrano 78, Madrid","ACTIVO"
"Dental Express Sur","Av. República Argentina 30, Sevilla","ACTIVO"
"Ortodoncia Avanzada","Calle Velázquez 55, Madrid","ACTIVO"
